"","forest_area_in_1000_ha","carbon_stocks_in_millions_tonnes","air_quality_in_mg_per_m3","ghg_emissions_in_million_metric_tonnes_of_co2_equivalents_per_yr","co2_emissions_in_tonnes","disaster_count_in_number_of","mean_global_surface_temp_in_celsius"
"forest_area_in_1000_ha",1,0.94126387362827,0.091348411098307,0.973900150670525,0.981927424721743,0.00154769964783715,0.306211947838724
"carbon_stocks_in_millions_tonnes",0.94126387362827,1,0.120948272974103,0.866989332739085,0.884908883228143,0.00690230576718271,0.254884167608579
"air_quality_in_mg_per_m3",0.091348411098307,0.120948272974103,1,0.192253080547841,0.184029261992667,0.0708987012773244,-0.0876463084790867
"ghg_emissions_in_million_metric_tonnes_of_co2_equivalents_per_yr",0.973900150670525,0.866989332739085,0.192253080547841,1,0.998526759434826,0.0070147227295995,0.315324790933401
"co2_emissions_in_tonnes",0.981927424721743,0.884908883228143,0.184029261992667,0.998526759434826,1,0.0157091107602364,0.328171488557476
"disaster_count_in_number_of",0.00154769964783715,0.00690230576718271,0.0708987012773244,0.0070147227295995,0.0157091107602364,1,0.35190685678083
"mean_global_surface_temp_in_celsius",0.306211947838724,0.254884167608579,-0.0876463084790867,0.315324790933401,0.328171488557476,0.35190685678083,1
